,location,lands_str,site,date,nest,sex,mated,campy_0,chlamy_0,salmo_0,pooled_0,species,wing,weight,j_date,smi
1,Cadiz,continent,la esperanza,04/05/2015,a10,F,N,0,0,1,1,Charadrius alexandrinus,111,43.96,124,43.67003799
2,Cadiz,continent,la esperanza,17/04/2015,a16,F,Y,0,0,1,1,Charadrius alexandrinus,115,46.42,107,44.82197616
3,Cadiz,continent,la esperanza,24/04/2015,a20,F,Y,0,0,0,0,Charadrius alexandrinus,113,46.69,114,45.7219921
4,Cadiz,continent,la esperanza,17/04/2015,a21,F,Y,0,0,0,0,Charadrius alexandrinus,110,41.67,107,41.69691079
5,Cadiz,continent,la esperanza,24/04/2015,a22,F,Y,0,0,0,0,Charadrius alexandrinus,114,48.37,114,47.0333858
6,Cadiz,continent,la esperanza,24/04/2015,a24,F,N,0,0,0,0,Charadrius alexandrinus,120,46.07,114,42.99016432
7,Cadiz,continent,la esperanza,11/05/2015,a29,F,Y,0,0,0,0,Charadrius alexandrinus,112,48.43,131,47.76548071
8,Cadiz,continent,la esperanza,24/04/2015,a34,F,Y,0,0,0,0,Charadrius alexandrinus,112,40.59,114,40.03305517
9,Cadiz,continent,la esperanza,29/04/2015,a36,F,N,0,0,0,0,Charadrius alexandrinus,109,42.63,119,42.97135173
10,Cadiz,continent,la esperanza,11/05/2015,a37,F,N,0,0,0,0,Charadrius alexandrinus,114,43.58,131,42.37574846
11,Cadiz,continent,la esperanza,04/05/2015,a38,F,N,0,0,0,0,Charadrius alexandrinus,116,42.73,124,40.97328861
12,Cadiz,continent,la esperanza,04/05/2015,a39,F,N,0,0,1,1,Charadrius alexandrinus,110,43.16,124,43.18787305
13,Cadiz,continent,la esperanza,04/05/2015,a40,F,N,0,0,1,1,Charadrius alexandrinus,120,46.26,124,43.16746258
14,Cadiz,continent,la esperanza,04/05/2015,a43,F,Y,0,0,0,0,Charadrius alexandrinus,112,42.93,124,42.34094749
15,Cadiz,continent,la esperanza,04/05/2015,a44,F,Y,0,0,1,1,Charadrius alexandrinus,112,42.45,124,41.86753368
16,Cadiz,continent,la esperanza,11/05/2015,a45,F,N,0,0,1,1,Charadrius alexandrinus,NA,NA,131,NA
